94. sec: +0.2, ay: +0.5103, gx: +0.6683, angle: -5
95. sec: +0.2, ay: +0.5115, gx: +0.6539, angle: -5
96. sec: +0.2, ay: +0.5139, gx: +0.6990, angle: -5
97. sec: +0.2, ay: +0.5105, gx: +0.6856, angle: -5
98. sec: +0.2, ay: +0.5130, gx: +0.7317, angle: -5
99. sec: +0.2, ay: +0.5100, gx: +0.7361, angle: -5
100. sec: +0.2, ay: +0.5347, gx: +0.7411, angle: -6
101. sec: +0.2, ay: +0.5342, gx: +0.7345, angle: -6
102. sec: +0.2, ay: +0.5413, gx: +0.7325, angle: -6
103. sec: +0.2, ay: +0.5589, gx: +0.7281, angle: -6
104. sec: +0.2, ay: +0.5579, gx: +0.7234, angle: -6
105. sec: +0.2, ay: +0.5655, gx: +0.7169, angle: -6
106. sec: +0.2, ay: +0.5655, gx: +0.7125, angle: -6
107. sec: +0.2, ay: +0.5645, gx: +0.7132, angle: -6
108. sec: +0.2, ay: +0.5586, gx: +0.7206, angle: -6
109. sec: +0.2, ay: +0.5711, gx: +0.7281, angle: -6
110. sec: +0.2, ay: +0.5476, gx: +0.7341, angle: -6
111. sec: +0.2, ay: +0.5464, gx: +0.7433, angle: -6
112. sec: +0.2, ay: +0.5447, gx: +0.7198, angle: -6
113. sec: +0.2, ay: +0.5449, gx: +0.7578, angle: -6
114. sec: +0.2, ay: +0.5545, gx: +0.7549, angle: -7
115. sec: +0.2, ay: +0.5652, gx: +0.7551, angle: -7
116. sec: +0.2, ay: +0.5655, gx: +0.7866, angle: -7
117. sec: +0.2, ay: +0.5777, gx: +0.7396, angle: -7
118. sec: +0.2, ay: +0.5840, gx: +0.7309, angle: -7
119. sec: +0.2, ay: +0.5728, gx: +0.7204, angle: -7
120. sec: +0.2, ay: +0.5718, gx: +0.7166, angle: -7
121. sec: +0.2, ay: +0.5899, gx: +0.7086, angle: -7
122. sec: +0.2, ay: +0.5789, gx: +0.7037, angle: -7
123. sec: +0.2, ay: +0.5694, gx: +0.7016, angle: -7
124. sec: +0.2, ay: +0.5606, gx: +0.7029, angle: -7
125. sec: +0.2, ay: +0.5467, gx: +0.7073, angle: -7
126. sec: +0.2, ay: +0.5415, gx: +0.7133, angle: -7
127. sec: +0.2, ay: +0.5344, gx: +0.7256, angle: -8
128. sec: +0.2, ay: +0.5259, gx: +0.7368, angle: -8
129. sec: +0.2, ay: +0.5220, gx: +0.7522, angle: -8
130. sec: +0.2, ay: +0.5117, gx: +0.7609, angle: -8
131. sec: +0.2, ay: +0.5281, gx: +0.7718, angle: -8
132. sec: +0.2, ay: +0.5315, gx: +0.7810, angle: -8
133. sec: +0.2, ay: +0.5325, gx: +0.7822, angle: -8
134. sec: +0.2, ay: +0.5352, gx: +0.7829, angle: -8
135. sec: +0.2, ay: +0.5432, gx: +0.7846, angle: -8
136. sec: +0.2, ay: +0.5452, gx: +0.7791, angle: -8
137. sec: +0.2, ay: +0.5459, gx: +0.7747, angle: -8
138. sec: +0.2, ay: +0.5547, gx: +0.7863, angle: -8
139. sec: +0.3, ay: +0.4634, gx: +0.7992, angle: -8
140. sec: +0.3, ay: +0.5000, gx: +0.8116, angle: -9
141. sec: +0.3, ay: +0.5281, gx: +0.8147, angle: -9
142. sec: +0.3, ay: +0.5545, gx: +0.8095, angle: -9
143. sec: +0.3, ay: +0.5850, gx: +0.7959, angle: -9
144. sec: +0.3, ay: +0.5899, gx: +0.7638, angle: -9
145. sec: +0.3, ay: +0.6201, gx: +0.7316, angle: -9
146. sec: +0.3, ay: +0.6243, gx: +0.6981, angle: -9
147. sec: +0.3, ay: +0.6341, gx: +0.6680, angle: -9
148. sec: +0.3, ay: +0.6482, gx: +0.6391, angle: -9
149. sec: +0.3, ay: +0.6428, gx: +0.6206, angle: -9
150. sec: +0.3, ay: +0.6304, gx: +0.6034, angle: -9
151. sec: +0.3, ay: +0.5979, gx: +0.5893, angle: -9
152. sec: +0.3, ay: +0.5913, gx: +0.5777, angle: -9
153. sec: +0.3, ay: +0.5850, gx: +0.5641, angle: -9
154. sec: +0.3, ay: +0.5752, gx: +0.5424, angle: -10
155. sec: +0.3, ay: +0.5821, gx: +0.5225, angle: -10
156. sec: +0.3, ay: +0.5923, gx: +0.4916, angle: -10
157. sec: +0.3, ay: +0.6113, gx: +0.4583, angle: -10
158. sec: +0.3, ay: +0.6170, gx: +0.4213, angle: -10
159. sec: +0.3, ay: +0.6348, gx: +0.3949, angle: -10
160. sec: +0.3, ay: +0.6770, gx: +0.3606, angle: -10
161. sec: +0.3, ay: +0.6848, gx: +0.3761, angle: -10
162. sec: +0.3, ay: +0.6917, gx: +0.3359, angle: -10
163. sec: +0.3, ay: +0.6887, gx: +0.3375, angle: -10
164. sec: +0.3, ay: +0.6905, gx: +0.3506, angle: -10
165. sec: +0.3, ay: +0.6802, gx: +0.3732, angle: -10
166. sec: +0.3, ay: +0.6543, gx: +0.3967, angle: -10
167. sec: +0.3, ay: +0.6326, gx: +0.4261, angle: -10
168. sec: +0.3, ay: +0.6262, gx: +0.4586, angle: -10
169. sec: +0.3, ay: +0.6275, gx: +0.4889, angle: -10
170. sec: +0.3, ay: +0.6336, gx: +0.4823, angle: -10
171. sec: +0.3, ay: +0.6399, gx: +0.5392, angle: -10
172. sec: +0.3, ay: +0.6519, gx: +0.5565, angle: -10
173. sec: +0.3, ay: +0.6655, gx: +0.5677, angle: -10
174. sec: +0.3, ay: +0.6743, gx: +0.5755, angle: -10
175. sec: +0.3, ay: +0.6963, gx: +0.5790, angle: -10
176. sec: +0.3, ay: +0.6995, gx: +0.5891, angle: -11
177. sec: +0.3, ay: +0.7083, gx: +0.6057, angle: -11
178. sec: +0.3, ay: +0.7034, gx: +0.6318, angle: -11
179. sec: +0.3, ay: +0.7088, gx: +0.6657, angle: -11
180. sec: +0.3, ay: +0.6924, gx: +0.6973, angle: -11
181. sec: +0.3, ay: +0.6697, gx: +0.7360, angle: -11
182. sec: +0.3, ay: +0.6531, gx: +0.7734, angle: -11
183. sec: +0.3, ay: +0.6370, gx: +0.8134, angle: -11
184. sec: +0.3, ay: +0.6258, gx: +0.8503, angle: -11
185. sec: +0.3, ay: +0.6289, gx: +0.8770, angle: -11
186. sec: +0.3, ay: +0.6121, gx: +0.9021, angle: -11
187. sec: +0.3, ay: +0.6101, gx: +0.9299, angle: -11
188. sec: +0.3, ay: +0.6157, gx: +0.9401, angle: -11
189. sec: +0.3, ay: +0.6287, gx: +0.9399, angle: -12
190. sec: +0.3, ay: +0.6260, gx: +0.9365, angle: -12
191. sec: +0.3, ay: +0.6336, gx: +0.9155, angle: -12
192. sec: +0.3, ay: +0.6458, gx: +0.9210, angle: -12
193. sec: +0.3, ay: +0.6568, gx: +0.8870, angle: -12
194. sec: +0.3, ay: +0.6594, gx: +0.8219, angle: -12
195. sec: +0.4, ay: +0.6531, gx: +0.7879, angle: -12
196. sec: +0.4, ay: +0.6699, gx: +0.7802, angle: -12
197. sec: +0.4, ay: +0.6614, gx: +0.7114, angle: -12
198. sec: +0.4, ay: +0.6643, gx: +0.7168, angle: -12
199. sec: +0.4, ay: +0.6353, gx: +0.6843, angle: -12
200. sec: +0.4, ay: +0.6328, gx: +0.6494, angle: -12
201. sec: +0.4, ay: +0.6282, gx: +0.6120, angle: -13
202. sec: +0.4, ay: +0.6258, gx: +0.5389, angle: -13
203. sec: +0.4, ay: +0.6328, gx: +0.5430, angle: -13
204. sec: +0.4, ay: +0.6194, gx: +0.4819, angle: -13
205. sec: +0.4, ay: +0.6494, gx: +0.4524, angle: -13
206. sec: +0.4, ay: +0.6524, gx: +0.4444, angle: -13
207. sec: +0.4, ay: +0.6641, gx: +0.3621, angle: -13
208. sec: +0.4, ay: +0.6817, gx: +0.3307, angle: -13
209. sec: +0.4, ay: +0.6817, gx: +0.3381, angle: -13
210. sec: +0.4, ay: +0.6934, gx: +0.2667, angle: -13
211. sec: +0.4, ay: +0.6985, gx: +0.2315, angle: -13
212. sec: +0.4, ay: +0.6997, gx: +0.2407, angle: -13
213. sec: +0.4, ay: +0.6956, gx: +0.1948, angle: -13
214. sec: +0.4, ay: +0.6948, gx: +0.1941, angle: -13
215. sec: +0.4, ay: +0.6824, gx: +0.1928, angle: -13
216. sec: +0.4, ay: +0.6821, gx: +0.1881, angle: -13
217. sec: +0.4, ay: +0.6763, gx: +0.1872, angle: -13
218. sec: +0.4, ay: +0.6790, gx: +0.2038, angle: -13
219. sec: +0.4, ay: +0.6717, gx: +0.2116, angle: -13
220. sec: +0.4, ay: +0.7053, gx: +0.2104, angle: -13
221. sec: +0.4, ay: +0.7114, gx: +0.2186, angle: -13
222. sec: +0.4, ay: +0.7239, gx: +0.2271, angle: -13
223. sec: +0.4, ay: +0.7466, gx: +0.2518, angle: -13
224. sec: +0.4, ay: +0.7559, gx: +0.2419, angle: -13
225. sec: +0.4, ay: +0.7632, gx: +0.2978, angle: -13
226. sec: +0.4, ay: +0.7625, gx: +0.3191, angle: -13
227. sec: +0.4, ay: +0.7532, gx: +0.3435, angle: -13
228. sec: +0.4, ay: +0.7446, gx: +0.3512, angle: -13
229. sec: +0.4, ay: +0.7317, gx: +0.3824, angle: -13
230. sec: +0.4, ay: +0.7276, gx: +0.4368, angle: -13
231. sec: +0.4, ay: +0.7105, gx: +0.4616, angle: -14
232. sec: +0.4, ay: +0.7000, gx: +0.4487, angle: -14
233. sec: +0.4, ay: +0.6909, gx: +0.4972, angle: -14
234. sec: +0.4, ay: +0.6848, gx: +0.5055, angle: -14
235. sec: +0.4, ay: +0.6829, gx: +0.5067, angle: -14
236. sec: +0.4, ay: +0.6812, gx: +0.4997, angle: -14
237. sec: +0.4, ay: +0.6853, gx: +0.4843, angle: -14
238. sec: +0.4, ay: +0.6912, gx: +0.4698, angle: -14
239. sec: +0.4, ay: +0.6988, gx: +0.4518, angle: -14
240. sec: +0.4, ay: +0.7261, gx: +0.4353, angle: -14
241. sec: +0.4, ay: +0.7373, gx: +0.4238, angle: -14
242. sec: +0.4, ay: +0.7530, gx: +0.4033, angle: -14
