94. sec: +0.2, ay: -0.2667, gx: -0.7597, angle: 8
95. sec: +0.2, ay: -0.2733, gx: -0.7771, angle: 8
96. sec: +0.2, ay: -0.2714, gx: -0.7903, angle: 8
97. sec: +0.2, ay: -0.2753, gx: -0.8115, angle: 8
98. sec: +0.2, ay: -0.2767, gx: -0.8301, angle: 8
99. sec: +0.2, ay: -0.2836, gx: -0.8528, angle: 8
100. sec: +0.2, ay: -0.2777, gx: -0.8460, angle: 8
101. sec: +0.2, ay: -0.2816, gx: -0.9029, angle: 9
102. sec: +0.2, ay: -0.3004, gx: -0.9210, angle: 9
103. sec: +0.2, ay: -0.2914, gx: -0.9305, angle: 9
104. sec: +0.2, ay: -0.3046, gx: -0.9356, angle: 9
105. sec: +0.2, ay: -0.3248, gx: -0.9410, angle: 9
106. sec: +0.2, ay: -0.3300, gx: -0.9394, angle: 9
107. sec: +0.2, ay: -0.3229, gx: -0.9355, angle: 9
108. sec: +0.2, ay: -0.3348, gx: -0.9372, angle: 9
109. sec: +0.2, ay: -0.3261, gx: -0.9339, angle: 9
110. sec: +0.2, ay: -0.3283, gx: -0.9263, angle: 9
111. sec: +0.2, ay: -0.3182, gx: -0.9222, angle: 9
112. sec: +0.2, ay: -0.3285, gx: -0.9166, angle: 10
113. sec: +0.2, ay: -0.3173, gx: -0.9075, angle: 10
114. sec: +0.2, ay: -0.3221, gx: -0.8955, angle: 10
115. sec: +0.2, ay: -0.3248, gx: -0.8872, angle: 10
116. sec: +0.2, ay: -0.3370, gx: -0.8786, angle: 10
117. sec: +0.2, ay: -0.3424, gx: -0.8668, angle: 10
118. sec: +0.2, ay: -0.3466, gx: -0.8609, angle: 10
119. sec: +0.2, ay: -0.3392, gx: -0.8542, angle: 10
120. sec: +0.2, ay: -0.3285, gx: -0.8544, angle: 10
121. sec: +0.2, ay: -0.3256, gx: -0.8606, angle: 10
122. sec: +0.2, ay: -0.3329, gx: -0.8746, angle: 10
123. sec: +0.2, ay: -0.3197, gx: -0.8825, angle: 11
124. sec: +0.2, ay: -0.3202, gx: -0.9025, angle: 11
125. sec: +0.2, ay: -0.3102, gx: -0.9177, angle: 11
126. sec: +0.2, ay: -0.3068, gx: -0.9387, angle: 11
127. sec: +0.2, ay: -0.3143, gx: -0.9568, angle: 11
128. sec: +0.2, ay: -0.2953, gx: -0.9455, angle: 11
129. sec: +0.2, ay: -0.2946, gx: -0.9992, angle: 11
130. sec: +0.2, ay: -0.2865, gx: -1.0079, angle: 11
131. sec: +0.2, ay: -0.2853, gx: -1.0137, angle: 11
132. sec: +0.2, ay: -0.2994, gx: -1.0244, angle: 11
133. sec: +0.2, ay: -0.2990, gx: -1.0272, angle: 12
134. sec: +0.2, ay: -0.3038, gx: -1.0260, angle: 12
135. sec: +0.2, ay: -0.3114, gx: -1.0261, angle: 12
136. sec: +0.2, ay: -0.3219, gx: -1.0217, angle: 12
