160. ay:-0.0020, gx:+0.0148
161. ay:-0.0085, gx:+0.0161
162. ay:-0.0056, gx:+0.0131
163. ay:-0.0024, gx:+0.0180
164. ay:+0.0034, gx:+0.0156
165. ay:-0.0029, gx:+0.0153
166. ay:+0.0137, gx:+0.0145
167. ay:-0.0042, gx:+0.0161
168. ay:-0.0071, gx:+0.0137
169. ay:-0.0051, gx:+0.0128
170. ay:-0.0044, gx:+0.0137
171. ay:-0.0071, gx:+0.0165
172. ay:-0.0042, gx:+0.0145
173. ay:-0.0027, gx:+0.0123
174. ay:-0.0027, gx:+0.0137
175. ay:-0.0120, gx:+0.0153
176. ay:-0.0012, gx:+0.0169
177. ay:-0.0068, gx:+0.0148
178. ay:-0.0125, gx:+0.0161
179. ay:-0.0129, gx:+0.0129
180. ay:-0.0117, gx:+0.0175
181. ay:-0.0107, gx:+0.0144
182. ay:-0.0081, gx:+0.0101
183. ay:-0.0068, gx:+0.0155
184. ay:-0.0078, gx:+0.0151
185. ay:-0.0073, gx:+0.0141
186. ay:-0.0063, gx:+0.0153
187. ay:-0.0081, gx:+0.0160
188. ay:-0.0073, gx:+0.0109
189. ay:-0.0059, gx:+0.0144
190. ay:-0.0068, gx:+0.0153
191. ay:-0.0083, gx:+0.0119
192. ay:-0.0066, gx:+0.0149
193. ay:-0.0071, gx:+0.0128
194. ay:-0.0081, gx:+0.0171
195. ay:-0.0071, gx:+0.0152
196. ay:-0.0095, gx:+0.0160
197. ay:-0.0105, gx:+0.0161
198. ay:-0.0137, gx:+0.0136
199. ay:-0.0127, gx:+0.0141
200. ay:-0.0115, gx:+0.0179
201. ay:-0.0117, gx:+0.0137
202. ay:-0.0107, gx:+0.0153
203. ay:-0.0107, gx:+0.0147
204. ay:-0.0081, gx:+0.0165
205. ay:-0.0071, gx:+0.0149
206. ay:-0.0127, gx:+0.0117
207. ay:-0.0098, gx:+0.0148
208. ay:-0.0037, gx:+0.0144
209. ay:-0.0081, gx:+0.0152
210. ay:-0.0049, gx:+0.0152
211. ay:-0.0046, gx:+0.0151
212. ay:-0.0034, gx:+0.0143
213. ay:-0.0037, gx:+0.0155
214. ay:-0.0022, gx:+0.0149
215. ay:-0.0061, gx:+0.0164
216. ay:-0.0156, gx:+0.0129
217. ay:-0.0044, gx:+0.0171
218. ay:-0.0042, gx:+0.0152
219. ay:-0.0056, gx:+0.0163
220. ay:-0.0020, gx:+0.0165
221. ay:-0.0051, gx:+0.0135
222. ay:-0.0042, gx:+0.0159
223. ay:-0.0056, gx:+0.0152
224. ay:-0.0061, gx:+0.0140
225. ay:-0.0125, gx:+0.0144
226. ay:-0.0051, gx:+0.0189
227. ay:-0.0090, gx:+0.0111
228. ay:-0.0115, gx:+0.0099
229. ay:-0.0042, gx:+0.0117
230. ay:-0.0054, gx:+0.0127
231. ay:-0.0068, gx:+0.0148
232. ay:-0.0042, gx:+0.0156
233. ay:-0.0054, gx:+0.0160
234. ay:-0.0063, gx:+0.0129
235. ay:+0.0000, gx:+0.0152
236. ay:-0.0110, gx:+0.0183
237. ay:-0.0117, gx:+0.0153
238. ay:-0.0083, gx:+0.0144
239. ay:-0.0107, gx:+0.0127
240. ay:-0.0076, gx:+0.0169
241. ay:-0.0151, gx:+0.0139
242. ay:-0.0056, gx:+0.0157
243. ay:-0.0095, gx:+0.0161
244. ay:-0.0105, gx:+0.0157
245. ay:-0.0022, gx:+0.0144
246. ay:-0.0063, gx:+0.0148
247. ay:-0.0032, gx:+0.0099
248. ay:-0.0032, gx:+0.0113
249. ay:-0.0049, gx:+0.0156
250. ay:-0.0049, gx:+0.0160
251. ay:-0.0061, gx:+0.0147
252. ay:-0.0049, gx:+0.0169
253. ay:+0.0103, gx:+0.0159
254. ay:-0.0037, gx:+0.0175
255. ay:-0.0100, gx:+0.0139
256. ay:-0.0078, gx:+0.0161
257. ay:-0.0112, gx:+0.0153
258. ay:-0.0054, gx:+0.0155
259. ay:-0.0022, gx:+0.0127
260. ay:-0.0032, gx:+0.0135
261. ay:-0.0056, gx:+0.0149
262. ay:-0.0044, gx:+0.0108
263. ay:-0.0105, gx:+0.0108
264. ay:-0.0005, gx:+0.0152
265. ay:-0.0024, gx:+0.0140
266. ay:-0.0068, gx:+0.0153
267. ay:-0.0054, gx:+0.0161
268. ay:-0.0112, gx:+0.0163
269. ay:-0.0066, gx:+0.0181
270. ay:-0.0049, gx:+0.0172
271. ay:-0.0063, gx:+0.0147
272. ay:-0.0059, gx:+0.0175
273. ay:-0.0054, gx:+0.0144
274. ay:-0.0059, gx:+0.0141
275. ay:-0.0076, gx:+0.0111
276. ay:-0.0093, gx:+0.0132
277. ay:-0.0024, gx:+0.0149
278. ay:-0.0103, gx:+0.0120
279. ay:-0.0063, gx:+0.0148
280. ay:-0.0085, gx:+0.0161
281. ay:-0.0034, gx:+0.0144
282. ay:-0.0088, gx:+0.0139
283. ay:-0.0127, gx:+0.0129
284. ay:-0.0005, gx:+0.0157
285. ay:-0.0107, gx:+0.0135
286. ay:-0.0088, gx:+0.0148
287. ay:-0.0090, gx:+0.0131
288. ay:-0.0039, gx:+0.0176
289. ay:-0.0059, gx:+0.0120
290. ay:-0.0142, gx:+0.0148
291. ay:-0.0049, gx:+0.0149
292. ay:-0.0083, gx:+0.0193
293. ay:-0.0073, gx:+0.0157
294. ay:-0.0039, gx:+0.0084
295. ay:-0.0061, gx:+0.0139
296. ay:-0.0085, gx:+0.0180
297. ay:-0.0088, gx:+0.0168
298. ay:-0.0117, gx:+0.0147
299. ay:-0.0081, gx:+0.0156
300. ay:-0.0051, gx:+0.0180
301. ay:-0.0088, gx:+0.0172
302. ay:-0.0068, gx:+0.0183
303. ay:-0.0022, gx:+0.0147
304. ay:-0.0063, gx:+0.0161
305. ay:-0.0076, gx:+0.0164
306. ay:-0.0149, gx:+0.0164
307. ay:-0.0112, gx:+0.0161
308. ay:-0.0056, gx:+0.0140
309. ay:-0.0049, gx:+0.0151
310. ay:-0.0088, gx:+0.0151
