1,2,4
2,1,1
3,1,1
4,0,0
5,0,0
6,4,0
7,3,1
8,6,4
9,4,0
10,4,0
11,5,0
12,7,1
13,14,3
14,5,0
15,3,1
16,10,1
17,9,2
18,10,1
19,16,1
20,10,6
21,14,11
22,14,5
23,27,5
24,24,6
25,74,22
26,30,14
27,48,14
28,37,18
29,67,71
30,56,40
31,76,64
32,168,63
33,104,63
34,115,194
35,125,77
36,138,126
37,152,142
38,330,276
39,195,161
40,184,186
41,188,166
42,211,457
43,225,276
44,448,211
45,242,300
46,253,334
47,271,558
48,242,297
49,252,309
50,551,245
51,286,605
52,280,219
53,308,313
54,261,311
55,261,542
56,516,298
57,254,257
58,226,199
59,240,242
60,221,408
61,224,187
62,399,209
63,150,173
64,162,249
65,156,127
66,139,90
67,120,91
68,197,175
69,75,45
70,83,60
71,58,47
72,70,34
73,50,63
74,71,30
75,43,23
76,30,24
77,28,42
78,14,23
79,16,17
80,31,18
81,8,11
82,9,6
83,6,3
84,7,4
85,2,1
86,6,4
87,4,1
88,3,4
89,3,0
90,2,4
91,2,0
92,1,0
93,0,2
94,0,3
95,1,1
96,2,1
97,0,0
98,0,1
99,0,2
100,0,2
