94. sec: +0.2, ay: -0.0122, gx: +0.0152, angle: 0
95. sec: +0.2, ay: -0.0063, gx: +0.0165, angle: 0
96. sec: +0.2, ay: -0.0095, gx: +0.0111, angle: 0
97. sec: +0.2, ay: -0.0149, gx: +0.0180, angle: 0
98. sec: +0.2, ay: -0.0146, gx: +0.0179, angle: 0
99. sec: +0.2, ay: -0.0063, gx: +0.0140, angle: 0
100. sec: +0.2, ay: -0.0098, gx: +0.0129, angle: 0
101. sec: +0.2, ay: -0.0149, gx: +0.0161, angle: 0
102. sec: +0.2, ay: -0.0154, gx: +0.0195, angle: 0
103. sec: +0.2, ay: -0.0139, gx: +0.0155, angle: 0
104. sec: +0.2, ay: -0.0151, gx: +0.0159, angle: 0
105. sec: +0.2, ay: -0.0110, gx: +0.0121, angle: 0
106. sec: +0.2, ay: -0.0090, gx: +0.0167, angle: 0
107. sec: +0.2, ay: -0.0117, gx: +0.0189, angle: 0
108. sec: +0.2, ay: -0.0120, gx: +0.0164, angle: 0
109. sec: +0.2, ay: -0.0076, gx: +0.0152, angle: 0
110. sec: +0.2, ay: -0.0129, gx: +0.0112, angle: 0
111. sec: +0.2, ay: -0.0134, gx: +0.0151, angle: 0
112. sec: +0.2, ay: -0.0142, gx: +0.0156, angle: 0
113. sec: +0.2, ay: -0.0139, gx: +0.0112, angle: 0
114. sec: +0.2, ay: -0.0054, gx: +0.0075, angle: 0
115. sec: +0.2, ay: -0.0076, gx: +0.0127, angle: 0
116. sec: +0.2, ay: -0.0085, gx: +0.0151, angle: 0
117. sec: +0.2, ay: -0.0010, gx: +0.0177, angle: 0
118. sec: +0.2, ay: -0.0137, gx: +0.0147, angle: 0
119. sec: +0.2, ay: -0.0083, gx: +0.0087, angle: 0
120. sec: +0.2, ay: -0.0117, gx: +0.0125, angle: 0
121. sec: +0.2, ay: -0.0098, gx: +0.0119, angle: 0
122. sec: +0.2, ay: -0.0127, gx: +0.0143, angle: 0
123. sec: +0.2, ay: -0.0132, gx: +0.0124, angle: 0
124. sec: +0.2, ay: -0.0078, gx: +0.0105, angle: 0
125. sec: +0.2, ay: -0.0071, gx: +0.0132, angle: 0
126. sec: +0.2, ay: -0.0061, gx: +0.0290, angle: 0
127. sec: +0.2, ay: -0.0210, gx: +0.0165, angle: 0
128. sec: +0.2, ay: +0.0042, gx: +0.0340, angle: 0
129. sec: +0.2, ay: -0.0071, gx: +0.0153, angle: 0
130. sec: +0.2, ay: -0.0181, gx: +0.0216, angle: 0
131. sec: +0.2, ay: -0.0051, gx: +0.0135, angle: 0
132. sec: +0.2, ay: +0.0093, gx: +0.0128, angle: 0
133. sec: +0.2, ay: +0.0024, gx: +0.0246, angle: 0
134. sec: +0.2, ay: -0.0269, gx: +0.0292, angle: 0
135. sec: +0.2, ay: -0.0051, gx: +0.0012, angle: 0
136. sec: +0.2, ay: +0.0146, gx: -0.0005, angle: 0
137. sec: +0.2, ay: +0.0015, gx: +0.0140, angle: 0
138. sec: +0.2, ay: -0.0015, gx: +0.0177, angle: 0
139. sec: +0.3, ay: +0.0129, gx: +0.0207, angle: 0
140. sec: +0.3, ay: +0.0112, gx: +0.0257, angle: 0
141. sec: +0.3, ay: +0.0015, gx: +0.0096, angle: 0
142. sec: +0.3, ay: +0.0066, gx: +0.0093, angle: 0
143. sec: +0.3, ay: -0.0054, gx: +0.0188, angle: 0
144. sec: +0.3, ay: -0.0007, gx: +0.0088, angle: 0
145. sec: +0.3, ay: -0.0107, gx: -0.0028, angle: 0
146. sec: +0.3, ay: -0.0229, gx: -0.0071, angle: 0
147. sec: +0.3, ay: -0.0347, gx: -0.0061, angle: 0
148. sec: +0.3, ay: -0.0408, gx: -0.0028, angle: 0
149. sec: +0.3, ay: -0.0564, gx: -0.0024, angle: 0
150. sec: +0.3, ay: -0.0569, gx: -0.0092, angle: 0
151. sec: +0.3, ay: -0.0593, gx: -0.0179, angle: 0
152. sec: +0.3, ay: -0.0671, gx: -0.0152, angle: 0
153. sec: +0.3, ay: -0.0618, gx: -0.0115, angle: 0
154. sec: +0.3, ay: -0.0483, gx: -0.0155, angle: 0
155. sec: +0.3, ay: -0.0496, gx: -0.0200, angle: 0
156. sec: +0.3, ay: -0.0603, gx: -0.0250, angle: 0
157. sec: +0.3, ay: -0.0474, gx: -0.0276, angle: 0
158. sec: +0.3, ay: -0.0505, gx: -0.0378, angle: 0
159. sec: +0.3, ay: -0.0496, gx: -0.0493, angle: 0
