0. ay:-0.0044, gx:+0.0127
1. ay:-0.0063, gx:+0.0133
2. ay:-0.0044, gx:+0.0172
3. ay:-0.0090, gx:+0.0089
4. ay:-0.0073, gx:+0.0079
5. ay:-0.0115, gx:+0.0097
6. ay:-0.0093, gx:+0.0115
7. ay:-0.0090, gx:+0.0135
8. ay:-0.0051, gx:+0.0129
9. ay:-0.0107, gx:+0.0128
10. ay:-0.0073, gx:+0.0164
11. ay:-0.0039, gx:+0.0183
12. ay:-0.0132, gx:+0.0137
13. ay:-0.0105, gx:+0.0176
14. ay:-0.0110, gx:+0.0160
15. ay:-0.0110, gx:+0.0160
16. ay:-0.0105, gx:+0.0156
17. ay:-0.0044, gx:+0.0161
18. ay:-0.0046, gx:+0.0139
19. ay:-0.0024, gx:+0.0139
20. ay:-0.0005, gx:+0.0157
21. ay:-0.0037, gx:+0.0143
22. ay:-0.0012, gx:+0.0085
23. ay:-0.0076, gx:+0.0163
24. ay:-0.0151, gx:+0.0108
25. ay:-0.0071, gx:+0.0141
26. ay:-0.0020, gx:+0.0124
27. ay:-0.0042, gx:+0.0123
28. ay:-0.0083, gx:+0.0152
29. ay:-0.0042, gx:+0.0137
30. ay:-0.0012, gx:+0.0141
31. ay:-0.0125, gx:+0.0144
32. ay:-0.0154, gx:+0.0115
33. ay:-0.0024, gx:+0.0131
34. ay:-0.0081, gx:+0.0125
35. ay:-0.0059, gx:+0.0128
36. ay:-0.0020, gx:+0.0132
37. ay:-0.0066, gx:+0.0149
38. ay:-0.0120, gx:+0.0131
39. ay:-0.0149, gx:+0.0157
40. ay:-0.0098, gx:+0.0129
41. ay:-0.0078, gx:+0.0169
42. ay:-0.0120, gx:+0.0152
43. ay:-0.0117, gx:+0.0155
44. ay:-0.0146, gx:+0.0168
45. ay:-0.0120, gx:+0.0155
46. ay:-0.0125, gx:+0.0152
47. ay:-0.0085, gx:+0.0131
48. ay:-0.0095, gx:+0.0127
49. ay:-0.0095, gx:+0.0153
50. ay:-0.0095, gx:+0.0157
51. ay:-0.0068, gx:+0.0161
52. ay:-0.0085, gx:+0.0165
53. ay:-0.0066, gx:+0.0137
54. ay:-0.0090, gx:+0.0119
55. ay:-0.0115, gx:+0.0151
56. ay:-0.0105, gx:+0.0125
57. ay:-0.0093, gx:+0.0128
58. ay:-0.0156, gx:+0.0157
59. ay:-0.0081, gx:+0.0127
60. ay:-0.0105, gx:+0.0143
61. ay:-0.0054, gx:+0.0148
62. ay:-0.0151, gx:+0.0165
63. ay:-0.0059, gx:+0.0157
64. ay:-0.0032, gx:+0.0139
65. ay:-0.0046, gx:+0.0119
66. ay:-0.0051, gx:+0.0135
67. ay:-0.0039, gx:+0.0135
68. ay:-0.0051, gx:+0.0139
69. ay:-0.0037, gx:+0.0115
70. ay:-0.0059, gx:+0.0119
71. ay:-0.0046, gx:+0.0141
72. ay:-0.0051, gx:+0.0101
73. ay:-0.0044, gx:+0.0132
74. ay:-0.0046, gx:+0.0136
75. ay:+0.0110, gx:+0.0156
76. ay:-0.0056, gx:+0.0152
77. ay:-0.0088, gx:+0.0129
78. ay:-0.0054, gx:+0.0093
79. ay:-0.0090, gx:+0.0128
80. ay:-0.0002, gx:+0.0136
81. ay:-0.0088, gx:+0.0123
82. ay:-0.0039, gx:+0.0137
83. ay:-0.0054, gx:+0.0149
84. ay:-0.0081, gx:+0.0109
85. ay:-0.0100, gx:+0.0145
86. ay:-0.0100, gx:+0.0148
87. ay:-0.0122, gx:+0.0143
88. ay:-0.0076, gx:+0.0133
89. ay:-0.0112, gx:+0.0135
90. ay:-0.0107, gx:+0.0145
91. ay:-0.0051, gx:+0.0133
92. ay:-0.0105, gx:+0.0157
93. ay:-0.0117, gx:+0.0159
94. ay:-0.0059, gx:+0.0125
95. ay:-0.0095, gx:+0.0136
96. ay:-0.0112, gx:+0.0128
97. ay:-0.0134, gx:+0.0120
98. ay:-0.0107, gx:+0.0136
99. ay:-0.0063, gx:+0.0147
100. ay:-0.0103, gx:+0.0143
101. ay:-0.0107, gx:+0.0149
102. ay:-0.0071, gx:+0.0137
103. ay:-0.0066, gx:+0.0128
104. ay:-0.0083, gx:+0.0139
105. ay:-0.0083, gx:+0.0124
106. ay:-0.0078, gx:+0.0139
107. ay:-0.0078, gx:+0.0159
108. ay:-0.0088, gx:+0.0141
109. ay:-0.0049, gx:+0.0164
110. ay:-0.0044, gx:+0.0167
111. ay:-0.0012, gx:+0.0131
112. ay:-0.0051, gx:+0.0140
113. ay:-0.0034, gx:+0.0117
114. ay:-0.0034, gx:+0.0135
115. ay:-0.0024, gx:+0.0145
116. ay:-0.0015, gx:+0.0136
117. ay:-0.0051, gx:+0.0120
118. ay:-0.0076, gx:+0.0164
119. ay:-0.0063, gx:+0.0155
120. ay:-0.0039, gx:+0.0135
121. ay:-0.0046, gx:+0.0133
122. ay:-0.0051, gx:+0.0119
123. ay:-0.0020, gx:+0.0151
124. ay:-0.0051, gx:+0.0119
125. ay:-0.0037, gx:+0.0157
126. ay:-0.0049, gx:+0.0141
127. ay:-0.0032, gx:+0.0112
128. ay:-0.0078, gx:+0.0124
129. ay:-0.0100, gx:+0.0148
130. ay:-0.0005, gx:+0.0152
131. ay:-0.0071, gx:+0.0135
132. ay:-0.0061, gx:+0.0128
133. ay:-0.0042, gx:+0.0136
134. ay:-0.0032, gx:+0.0120
135. ay:-0.0034, gx:+0.0129
136. ay:+0.0002, gx:+0.0145
137. ay:-0.0105, gx:+0.0145
138. ay:-0.0098, gx:+0.0136
139. ay:-0.0151, gx:+0.0145
140. ay:-0.0066, gx:+0.0148
141. ay:-0.0054, gx:+0.0120
142. ay:-0.0117, gx:+0.0151
143. ay:-0.0051, gx:+0.0137
144. ay:-0.0066, gx:+0.0141
145. ay:-0.0066, gx:+0.0157
146. ay:-0.0125, gx:+0.0155
147. ay:-0.0098, gx:+0.0144
148. ay:-0.0066, gx:+0.0125
149. ay:-0.0098, gx:+0.0127
150. ay:-0.0076, gx:+0.0177
151. ay:-0.0083, gx:+0.0156
152. ay:-0.0110, gx:+0.0140
153. ay:-0.0098, gx:+0.0177
154. ay:-0.0071, gx:+0.0148
155. ay:-0.0151, gx:+0.0147
156. ay:-0.0073, gx:+0.0157
157. ay:-0.0063, gx:+0.0157
158. ay:-0.0076, gx:+0.0177
159. ay:-0.0051, gx:+0.0164
160. ay:-0.0107, gx:+0.0145
161. ay:-0.0051, gx:+0.0177
162. ay:-0.0044, gx:+0.0172
163. ay:-0.0081, gx:+0.0141
164. ay:-0.0088, gx:+0.0133
165. ay:-0.0083, gx:+0.0136
166. ay:-0.0039, gx:+0.0123
167. ay:-0.0085, gx:+0.0163
168. ay:-0.0056, gx:+0.0180
169. ay:-0.0046, gx:+0.0143
170. ay:-0.0029, gx:+0.0165
171. ay:-0.0076, gx:+0.0144
172. ay:-0.0095, gx:+0.0131
173. ay:-0.0015, gx:+0.0145
174. ay:-0.0046, gx:+0.0143
175. ay:-0.0078, gx:+0.0171
176. ay:-0.0120, gx:+0.0168
177. ay:-0.0066, gx:+0.0159
178. ay:-0.0024, gx:+0.0131
179. ay:-0.0054, gx:+0.0136
180. ay:-0.0071, gx:+0.0156
181. ay:-0.0054, gx:+0.0151
182. ay:-0.0095, gx:+0.0125
183. ay:-0.0073, gx:+0.0152
184. ay:-0.0049, gx:+0.0127
185. ay:-0.0054, gx:+0.0155
186. ay:-0.0078, gx:+0.0164
187. ay:-0.0110, gx:+0.0141
188. ay:-0.0066, gx:+0.0163
189. ay:-0.0105, gx:+0.0120
190. ay:-0.0076, gx:+0.0124
191. ay:-0.0085, gx:+0.0151
192. ay:-0.0039, gx:+0.0165
193. ay:-0.0056, gx:+0.0177
194. ay:-0.0066, gx:+0.0129
195. ay:-0.0081, gx:+0.0145
196. ay:-0.0054, gx:+0.0212
197. ay:-0.0083, gx:+0.0184
198. ay:-0.0132, gx:+0.0163
199. ay:-0.0063, gx:+0.0160
200. ay:-0.0059, gx:+0.0112
201. ay:-0.0120, gx:+0.0161
202. ay:-0.0115, gx:+0.0137
203. ay:-0.0076, gx:+0.0147
204. ay:-0.0063, gx:+0.0147
205. ay:-0.0081, gx:+0.0183
206. ay:-0.0127, gx:+0.0153
207. ay:-0.0088, gx:+0.0176
208. ay:-0.0090, gx:+0.0157
209. ay:-0.0085, gx:+0.0119
210. ay:-0.0117, gx:+0.0129
211. ay:-0.0073, gx:+0.0169
212. ay:-0.0073, gx:+0.0183
213. ay:-0.0110, gx:+0.0140
214. ay:-0.0100, gx:+0.0120
215. ay:-0.0093, gx:+0.0148
216. ay:-0.0049, gx:+0.0151
217. ay:-0.0107, gx:+0.0096
218. ay:-0.0068, gx:+0.0137
219. ay:-0.0088, gx:+0.0157
220. ay:-0.0044, gx:+0.0117
221. ay:-0.0056, gx:+0.0201
222. ay:-0.0029, gx:+0.0145
223. ay:-0.0042, gx:+0.0120
