1	'ア'	10	259	
2	'イ'	10	214	
3	'ウ'	10	110	
4	'エ'	10	192	
5	'オ'	10	59	
6	'カ'	10	256	
7	'キ'	10	152	
8	'ク'	10	114	
9	'ケ'	10	176	
10	'コ'	10	218	
11	'サ'	10	149	
12	'シ'	10	36	
13	'ス'	10	33	
14	'セ'	10	35	
15	'ソ'	10	71	
16	'タ'	10	43	
17	'チ'	10	85	
18	'ツ'	10	97	
19	'テ'	10	33	
20	'ト'	10	70	
21	'ナ'	10	37	
22	'ニ'	0	0	
23	'ヌ'	10	205	
24	'ネ'	10	197	
25	'ノ'	10	336	
26	'ハ'	10	282	
27	'ヒ'	10	169	
28	'フ'	10	136	
29	'ヘ'	10	93	
30	'ホ'	10	39	
31	'マ'	10	96	
32	'ミ'	10	38	
33	'ム'	10	65	
34	'メ'	0	0	
35	'モ'	0	0	
36	'ヤ'	0	0	
37	'ユ'	10	72	
38	'ヨ'	10	678	
39	'ラ'	10	110	
40	'リ'	10	32	
41	'ル'	10	99	
42	'レ'	10	175	
43	'ロ'	10	172	
44	'ワ'	10	239	
45	'ヲ'	10	71	
46	'ン'	10	147	
47	'ア'	10	59	
48	'イ'	10	111	
49	'ウ'	10	170	
50	'エ'	10	101	
